...1	Log2 fold change	std error (log2)	Lower confidence limit (log2)	Upper confidence limit (log2)	Linear fold change	Lower confidence limit (linear)	Upper confidence limit (linear)	P-value	BH.p.value	method	Gene.sets	probe.ID
NDUFB10-mRNA	-0.823	0.139	-1.1	-0.55	0.565	0.468	0.683	0.0041	0.0871	lm.nb	Mitochondrial Respiration	NM_004548.2:155
MRAS-mRNA	1.06	0.183	0.706	1.42	2.09	1.63	2.68	0.00431	0.0871	lm.nb	Autophagy, MAPK	NM_001085049.2:1700
KYNU-mRNA	1.49	0.258	0.986	2	2.81	1.98	3.99	0.00444	0.0871	lm.nb	TryptophanKynurenine Metabolism	NM_003937.2:738
CD68-mRNA	1.91	0.342	1.24	2.58	3.77	2.37	6	0.00498	0.0871	lm.nb	Lysosomal Degradation	NM_001251.2:1140
PSME2-mRNA	1.47	0.265	0.953	1.99	2.77	1.94	3.97	0.00512	0.0871	lm.nb	Antigen Presentation, Cell Cycle, Cytokine & Chemokine Signaling, Hypoxia	NM_002818.2:315
WASHC4-mRNA	1.02	0.183	0.657	1.37	2.02	1.58	2.59	0.00516	0.0871	lm.nb	Endocytosis	NM_015275.1:1485
ZNF675-mRNA	-0.533	0.0967	-0.723	-0.344	0.691	0.606	0.788	0.00527	0.0871	loglinear	Transcriptional Regulation	NM_138330.2:851
HLA-C-mRNA	1.67	0.305	1.07	2.27	3.18	2.1	4.81	0.00538	0.0871	lm.nb	Antigen Presentation, Cytokine & Chemokine Signaling, Endocytosis	NM_002117.4:895
IDH2-mRNA	-0.382	0.0698	-0.519	-0.245	0.767	0.698	0.844	0.00541	0.0871	loglinear	IDH12 Activity, Mitochondrial Respiration	NM_002168.2:944
HSF2-mRNA	-0.656	0.123	-0.897	-0.414	0.635	0.537	0.75	0.00598	0.0927	loglinear	Transcriptional Regulation	NM_001135564.1:615
RELA-mRNA	0.438	0.084	0.273	0.603	1.35	1.21	1.52	0.00647	0.0927	loglinear	Cytokine & Chemokine Signaling, Epigenetic Regulation, MAPK, NF-kB, PI3K, TCR & Costimulatory Signaling, TLR Signaling, Transcriptional Regulation	NM_021975.3:1990
COX8A-mRNA	-0.199	0.0384	-0.274	-0.124	0.871	0.827	0.918	0.00661	0.0927	loglinear	Mitochondrial Respiration, p53 Pathway	NM_004074.2:0
HADH-mRNA	-1.39	0.269	-1.91	-0.862	0.382	0.265	0.55	0.00666	0.0927	lm.nb	Amino Acid Synthesis, Fatty Acid Oxidation, TryptophanKynurenine Metabolism	NM_001184705.2:645
NPM1-mRNA	-0.703	0.136	-0.969	-0.436	0.614	0.511	0.739	0.00669	0.0927	lm.nb	Cell Cycle, Myc	NM_002520.6:910
CYBB-mRNA	0.687	0.138	0.417	0.958	1.61	1.33	1.94	0.00763	0.0985	lm.nb	Antigen Presentation	NM_000397.3:2686
RICTOR-mRNA	1.34	0.271	0.807	1.87	2.53	1.75	3.66	0.00783	0.0985	lm.nb	mTOR	NM_152756.3:3097
CAT-mRNA	-1.62	0.332	-2.27	-0.971	0.325	0.207	0.51	0.00812	0.0985	lm.nb	Reactive Oxygen Response, TryptophanKynurenine Metabolism	NM_001752.2:1130
FPR1-mRNA	3.24	0.664	1.94	4.54	9.44	3.83	23.3	0.00819	0.0985	lm.nb	Cytokine & Chemokine Signaling	NM_002029.3:350
TYMP-mRNA	2.56	0.526	1.52	3.59	5.88	2.88	12	0.00829	0.0985	lm.nb	Nucleotide Salvage, Nucleotide Synthesis	NM_001953.3:719
MSH2-mRNA	-0.632	0.13	-0.887	-0.377	0.645	0.541	0.77	0.00829	0.0985	loglinear	DNA Damage Repair	NM_000251.1:2105
PRKAG2-mRNA	1.23	0.262	0.719	1.74	2.35	1.65	3.35	0.00926	0.105	lm.nb	AMPK, Autophagy, Fatty Acid Oxidation, Mitochondrial Respiration, mTOR, p53 Pathway	NM_016203.3:1895
COX4I1-mRNA	-0.435	0.0933	-0.618	-0.252	0.74	0.652	0.84	0.00958	0.105	loglinear	Mitochondrial Respiration, p53 Pathway	NM_001318797.1:50
AMDHD1-mRNA	-0.76	0.163	-1.08	-0.44	0.59	0.473	0.737	0.00962	0.105	loglinear	Amino Acid Synthesis	NM_152435.2:1936
CCL5-mRNA	1.38	0.302	0.785	1.97	2.6	1.72	3.91	0.0103	0.105	lm.nb	Cytokine & Chemokine Signaling	NM_002985.2:277
UCKL1-mRNA	-0.666	0.146	-0.952	-0.379	0.63	0.517	0.769	0.0104	0.105	lm.nb	Nucleotide Salvage, Nucleotide Synthesis	NM_001193379.1:825
APRT-mRNA	-0.616	0.136	-0.883	-0.349	0.652	0.542	0.785	0.0107	0.105	loglinear	Nucleotide Salvage, Nucleotide Synthesis	NM_000485.2:662
TRAF1-mRNA	1.39	0.308	0.782	1.99	2.61	1.72	3.98	0.0109	0.105	lm.nb	NF-kB	NM_005658.3:3735
GAPVD1-mRNA	-0.135	0.0306	-0.195	-0.0751	0.911	0.874	0.949	0.0116	0.105	loglinear	Endocytosis	NM_001282679.1:380
STAT1-mRNA	2.7	0.615	1.5	3.91	6.51	2.83	15	0.0117	0.105	lm.nb	Cytokine & Chemokine Signaling, Transcriptional Regulation	NM_007315.3:239
BRCC3-mRNA	-0.509	0.116	-0.737	-0.282	0.703	0.6	0.822	0.0117	0.105	loglinear	Cell Cycle, DNA Damage Repair	NM_024332.3:458
ATF4-mRNA	0.661	0.151	0.365	0.957	1.58	1.29	1.94	0.0119	0.105	lm.nb	MAPK, PI3K, Transcriptional Regulation	NM_001675.2:1151
FH-mRNA	-0.808	0.185	-1.17	-0.445	0.571	0.444	0.734	0.012	0.105	lm.nb	IDH12 Activity, Mitochondrial Respiration	NM_000143.2:203
MPC2-mRNA	-0.584	0.135	-0.848	-0.319	0.667	0.555	0.801	0.0124	0.105	loglinear	Mitochondrial Respiration	NM_001143674.1:285
NDUFA6-mRNA	-0.384	0.0888	-0.558	-0.21	0.766	0.679	0.865	0.0124	0.105	loglinear	Mitochondrial Respiration, Reactive Oxygen Response	NM_002490.3:430
NDUFA4-mRNA	-0.535	0.124	-0.778	-0.292	0.69	0.583	0.817	0.0126	0.105	loglinear	Mitochondrial Respiration, p53 Pathway	NM_002489.2:35
NDUFB11-mRNA	-0.253	0.0595	-0.369	-0.136	0.839	0.774	0.91	0.0131	0.105	loglinear	Mitochondrial Respiration	NM_001135998.1:255
CBR4-mRNA	-0.711	0.168	-1.04	-0.382	0.611	0.486	0.767	0.0133	0.105	loglinear	Fatty Acid Synthesis	NM_032783.4:520
ATP5F1D-mRNA	-0.562	0.134	-0.825	-0.299	0.677	0.564	0.813	0.0138	0.105	loglinear	Mitochondrial Respiration	NM_001687.4:184
ATXN7-mRNA	0.726	0.174	0.386	1.07	1.65	1.31	2.1	0.014	0.105	lm.nb	Epigenetic Regulation	NM_001128149.2:3600
MYB-mRNA	-2.95	0.708	-4.34	-1.56	0.129	0.0493	0.338	0.014	0.105	lm.nb	PI3K, Transcriptional Regulation	NM_001130173.1:183
TFRC-mRNA	-1.22	0.292	-1.79	-0.645	0.43	0.289	0.639	0.0141	0.105	lm.nb	Endocytosis, Myc	NM_003234.1:1220
GLUL-mRNA	0.604	0.145	0.319	0.888	1.52	1.25	1.85	0.0141	0.105	lm.nb	Amino Acid Synthesis, Arginine Metabolism, Glutamine Metabolism	NM_001033044.2:2645
MYC-mRNA	-1.48	0.357	-2.18	-0.785	0.357	0.22	0.58	0.0141	0.105	lm.nb	Cell Cycle, Cytokine & Chemokine Signaling, MAPK, Myc, PI3K, Transcriptional Regulation	NM_002467.3:1610
CCND1-mRNA	0.779	0.188	0.411	1.15	1.72	1.33	2.21	0.0142	0.105	loglinear	AMPK, Cell Cycle, Cytokine & Chemokine Signaling, Epigenetic Regulation, PI3K	NM_053056.2:690
KMO-mRNA	1.99	0.48	1.05	2.93	3.97	2.07	7.62	0.0143	0.105	lm.nb	TryptophanKynurenine Metabolism	NM_003679.3:595
NADK2-mRNA	-0.797	0.193	-1.17	-0.42	0.575	0.443	0.748	0.0144	0.105	lm.nb	Vitamin & Cofactor Metabolism	NM_153013.3:315
PSMB10-mRNA	1.02	0.246	0.534	1.5	2.02	1.45	2.82	0.0145	0.105	lm.nb	Antigen Presentation, Cell Cycle, Cytokine & Chemokine Signaling, Hypoxia	NM_002801.3:249
GPI-mRNA	-0.521	0.127	-0.768	-0.273	0.697	0.587	0.828	0.0147	0.105	lm.nb	Glycolysis, Pentose Phosphate Pathway, p53 Pathway	NM_000175.2:1695
NDUFS8-mRNA	-0.46	0.113	-0.681	-0.239	0.727	0.624	0.847	0.0151	0.105	loglinear	Mitochondrial Respiration, Reactive Oxygen Response	NM_002496.3:190
TPR-mRNA	-0.426	0.106	-0.634	-0.219	0.744	0.645	0.859	0.0157	0.105	loglinear	Cell Cycle, Cytokine & Chemokine Signaling, Glycolysis	NM_003292.2:6825
IDH3A-mRNA	-0.601	0.149	-0.893	-0.309	0.659	0.539	0.807	0.0157	0.105	loglinear	Mitochondrial Respiration	NM_005530.2:1521
FNIP2-mRNA	1.41	0.351	0.724	2.1	2.66	1.65	4.29	0.0158	0.105	lm.nb	mTOR	NM_020840.1:1732
TECR-mRNA	-0.629	0.156	-0.935	-0.322	0.647	0.523	0.8	0.0158	0.105	lm.nb	Fatty Acid Synthesis	NR_038104.1:574
HIF1A-mRNA	1.34	0.334	0.681	1.99	2.52	1.6	3.98	0.0161	0.106	lm.nb	Autophagy, Cytokine & Chemokine Signaling, Hypoxia, Transcriptional Regulation	NM_001530.2:1985
HLA-A-mRNA	1.46	0.367	0.741	2.18	2.75	1.67	4.53	0.0164	0.106	lm.nb	Antigen Presentation, Cytokine & Chemokine Signaling, Endocytosis	NM_002116.5:1000
ACAT2-mRNA	-0.841	0.214	-1.26	-0.421	0.558	0.417	0.747	0.0172	0.108	lm.nb	Amino Acid Synthesis, Fatty Acid Oxidation, TryptophanKynurenine Metabolism	NM_005891.2:910
IMPDH2-mRNA	-1.1	0.281	-1.65	-0.548	0.467	0.319	0.684	0.0174	0.108	lm.nb	Nucleotide Synthesis	NM_000884.2:545
PIK3R1-mRNA	0.734	0.188	0.366	1.1	1.66	1.29	2.15	0.0175	0.108	lm.nb	AMPK, Autophagy, Cytokine & Chemokine Signaling, PI3K, TCR & Costimulatory Signaling, mTOR	NM_181504.2:1105
TET2-mRNA	0.923	0.237	0.459	1.39	1.9	1.38	2.62	0.0175	0.108	lm.nb	IDH12 Activity	NM_001127208.2:2882
IMPDH1-mRNA	-1.02	0.263	-1.53	-0.5	0.494	0.346	0.707	0.0181	0.11	lm.nb	Nucleotide Synthesis	NM_000883.3:862
RPLP0-mRNA	-0.5	0.132	-0.759	-0.242	0.707	0.591	0.846	0.0192	0.116	loglinear	Cytokine & Chemokine Signaling	NM_001002.3:250
HLA-E-mRNA	2.06	0.551	0.983	3.14	4.18	1.98	8.82	0.02	0.116	lm.nb	Antigen Presentation, Cytokine & Chemokine Signaling, Endocytosis	NM_005516.5:1287
PIK3CB-mRNA	-0.688	0.184	-1.05	-0.327	0.621	0.484	0.797	0.0202	0.116	lm.nb	AMPK, Autophagy, Cytokine & Chemokine Signaling, PI3K, TCR & Costimulatory Signaling, mTOR	NM_006219.1:2945
CDA-mRNA	-0.744	0.199	-1.13	-0.353	0.597	0.455	0.783	0.0203	0.116	lm.nb	Nucleotide Salvage, Nucleotide Synthesis	NM_001785.2:322
GCLC-mRNA	0.267	0.0717	0.127	0.408	1.2	1.09	1.33	0.0203	0.116	loglinear	Amino Acid Synthesis, Reactive Oxygen Response	NM_001498.2:520
TDO2-mRNA	3.09	0.832	1.46	4.72	8.53	2.75	26.4	0.0205	0.116	lm.nb	TryptophanKynurenine Metabolism	NM_005651.2:495
NME1-mRNA	-0.709	0.192	-1.08	-0.333	0.612	0.472	0.794	0.0209	0.117	lm.nb	Myc, Nucleotide Synthesis	NM_000269.2:500
UCK2-mRNA	-1.03	0.28	-1.58	-0.481	0.49	0.335	0.717	0.0213	0.117	lm.nb	Nucleotide Salvage, Nucleotide Synthesis	NM_012474.3:730
TFAM-mRNA	-0.649	0.178	-0.998	-0.301	0.638	0.501	0.811	0.0216	0.117	loglinear	Mitochondrial Respiration	NM_003201.1:85
LDHB-mRNA	-1.08	0.296	-1.66	-0.498	0.473	0.317	0.708	0.0219	0.117	lm.nb	Amino Acid Synthesis, Glycolysis, Mitochondrial Respiration	NM_001174097.1:586
NME2-mRNA	-0.486	0.134	-0.748	-0.224	0.714	0.595	0.856	0.022	0.117	lm.nb	Myc, Nucleotide Synthesis	NM_001018137.2:669
PIK3R2-mRNA	-0.735	0.204	-1.13	-0.336	0.601	0.456	0.792	0.0225	0.117	loglinear	AMPK, Autophagy, Cytokine & Chemokine Signaling, PI3K, TCR & Costimulatory Signaling, mTOR	NM_005027.2:3100
ACAT1-mRNA	-0.737	0.204	-1.14	-0.336	0.6	0.455	0.792	0.0226	0.117	lm.nb	Amino Acid Synthesis, Fatty Acid Oxidation, TryptophanKynurenine Metabolism	NM_000019.3:282
CSF3R-mRNA	1.01	0.279	0.458	1.55	2.01	1.37	2.93	0.0227	0.117	lm.nb	Cytokine & Chemokine Signaling, PI3K	NM_000760.3:2066
ODC1-mRNA	-0.912	0.254	-1.41	-0.413	0.531	0.376	0.751	0.0231	0.117	lm.nb	Amino Acid Synthesis, Myc	NM_002539.1:950
SLC25A1-mRNA	-0.508	0.142	-0.787	-0.229	0.703	0.579	0.853	0.0234	0.117	loglinear	Fatty Acid Synthesis	NM_005984.2:964
CS-mRNA	-0.605	0.17	-0.938	-0.273	0.657	0.522	0.828	0.0234	0.117	lm.nb	Mitochondrial Respiration	NM_004077.2:740
PDHA1-mRNA	-0.774	0.218	-1.2	-0.347	0.585	0.435	0.786	0.0237	0.117	lm.nb	Glycolysis, Mitochondrial Respiration	NM_000284.3:1080
CTSZ-mRNA	0.707	0.199	0.317	1.1	1.63	1.25	2.14	0.0237	0.117	lm.nb	Lysosomal Degradation	NM_001336.3:827
STAT6-mRNA	0.922	0.261	0.41	1.43	1.89	1.33	2.7	0.0242	0.118	lm.nb	Cytokine & Chemokine Signaling, Transcriptional Regulation	NM_003153.3:2030
STAT3-mRNA	1.01	0.287	0.445	1.57	2.01	1.36	2.97	0.0247	0.118	lm.nb	Cytokine & Chemokine Signaling, Transcriptional Regulation	NM_003150.3:2060
RRAGC-mRNA	0.664	0.19	0.292	1.04	1.58	1.22	2.05	0.0249	0.118	lm.nb	Autophagy, mTOR, p53 Pathway	NM_022157.2:1199
SDHC-mRNA	-0.198	0.0568	-0.31	-0.0871	0.871	0.807	0.941	0.0251	0.118	loglinear	IDH12 Activity, Mitochondrial Respiration	NM_001035511.1:615
ASL-mRNA	-0.526	0.151	-0.822	-0.23	0.694	0.566	0.853	0.0253	0.118	lm.nb	Amino Acid Synthesis, Arginine Metabolism, IDH12 Activity	NM_000048.3:130
HK2-mRNA	0.834	0.24	0.364	1.3	1.78	1.29	2.47	0.0253	0.118	lm.nb	Glycolysis	NM_000189.4:6880
GCDH-mRNA	-0.52	0.151	-0.816	-0.223	0.697	0.568	0.857	0.0263	0.121	loglinear	Amino Acid Synthesis, Fatty Acid Oxidation, TryptophanKynurenine Metabolism	NM_000159.2:464
MAPT-mRNA	-0.704	0.206	-1.11	-0.301	0.614	0.464	0.811	0.0266	0.121	loglinear	MAPK	NM_016834.3:1205
PCLAF-mRNA	-1.36	0.399	-2.15	-0.582	0.388	0.226	0.668	0.0268	0.121	lm.nb	DNA Damage Repair	NM_014736.5:1025
CTSS-mRNA	1.57	0.461	0.671	2.48	2.98	1.59	5.57	0.0269	0.121	lm.nb	Antigen Presentation, Lysosomal Degradation, TLR Signaling	NM_004079.3:685
SLC16A1-mRNA	-0.649	0.191	-1.02	-0.276	0.638	0.492	0.826	0.0271	0.121	lm.nb	Mitochondrial Respiration	NM_003051.3:635
SDHB-mRNA	-0.248	0.0732	-0.392	-0.105	0.842	0.762	0.93	0.0275	0.121	loglinear	IDH12 Activity, Mitochondrial Respiration	NM_003000.2:245
SRM-mRNA	-1.02	0.301	-1.61	-0.428	0.494	0.328	0.743	0.0277	0.121	lm.nb	Amino Acid Synthesis, Myc	NM_003132.2:254
UBE2T-mRNA	-1.29	0.381	-2.03	-0.54	0.41	0.244	0.688	0.0278	0.121	lm.nb	DNA Damage Repair	NM_014176.3:595
CMKLR1-mRNA	2.84	0.852	1.17	4.51	7.15	2.25	22.8	0.0291	0.124	lm.nb	MAPK, PI3K	NM_004072.2:762
NFS1-mRNA	-0.664	0.2	-1.06	-0.273	0.631	0.481	0.828	0.0292	0.124	lm.nb	Amino Acid Synthesis	NM_021100.3:1775
CD276-mRNA	1.46	0.442	0.596	2.33	2.75	1.51	5.02	0.0297	0.125	lm.nb	TCR & Costimulatory Signaling	NM_001024736.1:2119
CTCF-mRNA	-0.403	0.122	-0.643	-0.163	0.756	0.64	0.893	0.0301	0.125	loglinear	IDH12 Activity	NM_001191022.1:490
COX6B1-mRNA	-0.316	0.0959	-0.504	-0.128	0.803	0.705	0.915	0.0301	0.125	loglinear	Mitochondrial Respiration, p53 Pathway	NM_001863.4:264
NUP62-mRNA	0.41	0.127	0.161	0.659	1.33	1.12	1.58	0.032	0.132	loglinear	Cell Cycle, Cytokine & Chemokine Signaling, Glycolysis	NM_016553.3:457
RPL23-mRNA	-0.713	0.221	-1.15	-0.279	0.61	0.452	0.824	0.0322	0.132	lm.nb	Myc	NM_000978.3:71
BCL2A1-mRNA	0.819	0.257	0.315	1.32	1.76	1.24	2.5	0.0333	0.135	lm.nb	NF-kB	NM_004049.2:80
NDUFB7-mRNA	-0.409	0.129	-0.662	-0.157	0.753	0.632	0.897	0.0337	0.135	loglinear	Mitochondrial Respiration	NM_004146.5:239
POLE-mRNA	-0.862	0.272	-1.4	-0.329	0.55	0.38	0.796	0.0339	0.135	lm.nb	Cell Cycle, DNA Damage Repair, Nucleotide Synthesis	NM_006231.3:3264
BRIP1-mRNA	1.41	0.446	0.539	2.29	2.66	1.45	4.89	0.034	0.135	lm.nb	Cell Cycle, DNA Damage Repair	NM_032043.1:1130
RPIA-mRNA	-0.819	0.261	-1.33	-0.307	0.567	0.397	0.808	0.035	0.138	lm.nb	Pentose Phosphate Pathway	NM_144563.2:1588
SOD1-mRNA	-0.329	0.107	-0.54	-0.119	0.796	0.688	0.921	0.0375	0.144	loglinear	Cytokine & Chemokine Signaling, Reactive Oxygen Response	NM_000454.4:245
PIK3R4-mRNA	-0.301	0.0982	-0.493	-0.108	0.812	0.71	0.928	0.0375	0.144	loglinear	Autophagy, TLR Signaling	NM_014602.1:3620
HSPA4-mRNA	-0.199	0.0649	-0.326	-0.0716	0.871	0.798	0.952	0.0376	0.144	loglinear	Myc	NM_002154.3:1225
INSR-mRNA	-1.21	0.398	-1.99	-0.431	0.432	0.252	0.742	0.0382	0.144	lm.nb	AMPK, MAPK, PI3K, mTOR	NM_000208.2:525
KPNA2-mRNA	-0.593	0.195	-0.975	-0.21	0.663	0.509	0.864	0.0385	0.144	lm.nb	Cytokine & Chemokine Signaling, DNA Damage Repair	NM_002266.2:917
ME2-mRNA	0.658	0.217	0.233	1.08	1.58	1.18	2.12	0.0387	0.144	lm.nb	Mitochondrial Respiration	NM_002396.3:610
KDM3B-mRNA	-0.401	0.132	-0.66	-0.142	0.758	0.633	0.907	0.0388	0.144	loglinear	Epigenetic Regulation	NM_016604.3:4178
GLUD1-mRNA	-0.138	0.0457	-0.227	-0.0481	0.909	0.854	0.967	0.0394	0.146	loglinear	Amino Acid Synthesis, Arginine Metabolism, Glutamine Metabolism, Mitochondrial Respiration	NM_005271.2:2680
CAD-mRNA	-0.842	0.281	-1.39	-0.292	0.558	0.381	0.817	0.0399	0.146	lm.nb	Amino Acid Synthesis, Myc, Nucleotide Synthesis	NM_004341.3:2380
HACD2-mRNA	-0.534	0.179	-0.885	-0.184	0.69	0.541	0.88	0.0405	0.146	lm.nb	Fatty Acid Synthesis	NM_198402.2:510
IDH3B-mRNA	-0.227	0.0763	-0.377	-0.0777	0.854	0.77	0.948	0.0408	0.146	loglinear	Mitochondrial Respiration	NM_001258384.1:556
EEA1-mRNA	-0.506	0.171	-0.841	-0.172	0.704	0.558	0.888	0.0413	0.146	loglinear	Endocytosis, TLR Signaling	NM_003566.3:2035
SREBF2-mRNA	-0.292	0.0988	-0.486	-0.0986	0.817	0.714	0.934	0.0417	0.146	loglinear	Transcriptional Regulation	NM_004599.2:665
NFE2L2-mRNA	0.43	0.146	0.144	0.716	1.35	1.11	1.64	0.0419	0.146	loglinear	IDH12 Activity, KEAP1NRF2 Pathway, Transcriptional Regulation	NM_006164.3:995
PDK2-mRNA	-0.52	0.176	-0.866	-0.175	0.697	0.549	0.886	0.042	0.146	loglinear	Mitochondrial Respiration	NM_002611.3:435
SOS2-mRNA	-0.917	0.311	-1.53	-0.307	0.53	0.347	0.808	0.0421	0.146	lm.nb	Cytokine & Chemokine Signaling, MAPK, PI3K, TCR & Costimulatory Signaling, mTOR	NM_006939.2:3845
SHMT2-mRNA	-0.263	0.0893	-0.438	-0.088	0.833	0.738	0.941	0.0422	0.146	loglinear	Amino Acid Synthesis, Vitamin & Cofactor Metabolism	NM_001166356.1:1460
STAM2-mRNA	0.522	0.178	0.172	0.871	1.44	1.13	1.83	0.043	0.148	lm.nb	Cytokine & Chemokine Signaling, Endocytosis	NM_005843.4:1455
CPT1A-mRNA	-0.794	0.273	-1.33	-0.259	0.577	0.398	0.835	0.0436	0.149	lm.nb	AMPK, Fatty Acid Oxidation	NM_001876.3:1355
CENPA-mRNA	-1.32	0.454	-2.21	-0.43	0.401	0.216	0.742	0.0438	0.149	lm.nb	Cell Cycle	NM_001042426.1:979
IL10-mRNA	2.71	0.933	0.878	4.54	6.53	1.84	23.2	0.0441	0.149	lm.nb	Cytokine & Chemokine Signaling, TCR & Costimulatory Signaling	NM_000572.2:230
MLST8-mRNA	-0.441	0.153	-0.742	-0.14	0.737	0.598	0.907	0.0452	0.152	loglinear	Autophagy, PI3K, mTOR, p53 Pathway	NM_001199173.1:810
PRIM1-mRNA	-1.01	0.356	-1.71	-0.315	0.495	0.305	0.804	0.0467	0.155	lm.nb	Cell Cycle, Nucleotide Synthesis	NM_000946.2:480
TBK1-mRNA	0.371	0.131	0.114	0.627	1.29	1.08	1.54	0.0474	0.157	loglinear	Cytokine & Chemokine Signaling, TLR Signaling	NM_013254.2:1610
ATP5ME-mRNA	-0.445	0.158	-0.754	-0.136	0.735	0.593	0.91	0.0479	0.157	lm.nb	Mitochondrial Respiration	NM_007100.3:184
NDUFA3-mRNA	-0.383	0.138	-0.654	-0.112	0.767	0.635	0.925	0.0503	0.164	lm.nb	Mitochondrial Respiration	NM_004542.3:75
PSMA3-mRNA	0.411	0.149	0.118	0.703	1.33	1.09	1.63	0.0512	0.166	lm.nb	Antigen Presentation, Cell Cycle, Cytokine & Chemokine Signaling, Hypoxia	NM_152132.1:465
NFKB1-mRNA	0.517	0.19	0.145	0.889	1.43	1.11	1.85	0.0528	0.17	loglinear	Cytokine & Chemokine Signaling, Epigenetic Regulation, MAPK, NF-kB, PI3K, TCR & Costimulatory Signaling, TLR Signaling, Transcriptional Regulation	NM_003998.2:1675
NDUFA1-mRNA	-0.323	0.12	-0.558	-0.0884	0.799	0.679	0.941	0.0542	0.173	lm.nb	Mitochondrial Respiration	NM_004541.3:240
HMOX1-mRNA	1.14	0.424	0.312	1.97	2.21	1.24	3.93	0.0543	0.173	lm.nb	Cytokine & Chemokine Signaling, KEAP1NRF2 Pathway, Reactive Oxygen Response	NM_002133.2:781
FASN-mRNA	-1.23	0.458	-2.13	-0.334	0.426	0.228	0.794	0.0548	0.173	lm.nb	AMPK, Fatty Acid Synthesis, Myc, Vitamin & Cofactor Metabolism	NM_004104.4:5387
