Gene	Log2 fold change	P-value	BH.p.value	Gene.sets
SLC16A1	-1.03	0.00155	0.0285	Mitochondrial Respiration
TALDO1	-1.03	0.00183	0.0285	Cytokine & Chemokine Signaling, Pentose Phosphate Pathway
PGD	-1.2	0.0018	0.0285	Pentose Phosphate Pathway
UCK2	-1.48	0.00201	0.0285	Nucleotide Salvage, Nucleotide Synthesis
ADA	-2.81	0.00195	0.0285	Nucleotide Salvage, Nucleotide Synthesis
CD163	-5.93	0.00172	0.0285	NA
GPX1	1.14	0.00211	0.029	Reactive Oxygen Response
CCL13	-7.45	0.00225	0.0301	Cytokine & Chemokine Signaling, NF-kB
FPR1	4.31	0.00252	0.0306	Cytokine & Chemokine Signaling
ITCH	-0.583	0.00242	0.0306	Antigen Presentation, Endocytosis
ENO1	-1.13	0.00258	0.0306	Glycolysis, Myc
MAP2K3	-1.21	0.00264	0.0306	Cytokine & Chemokine Signaling, MAPK, TLR Signaling
IDH3A	-1.55	0.00262	0.0306	Mitochondrial Respiration
FCAR	-3.08	0.00236	0.0306	NA
ARID1B	0.788	0.00291	0.0328	Epigenetic Regulation
PYCR2	-0.627	0.00308	0.0328	Amino Acid Synthesis, Glutamine Metabolism
SMAD2	-0.643	0.00295	0.0328	Cell Cycle, Endocytosis
NKG7	-1.01	0.00305	0.0328	NA
GAPDH	-0.836	0.00374	0.0363	Glycolysis
MYC	-1.29	0.00376	0.0363	Cell Cycle, Cytokine & Chemokine Signaling, MAPK, Myc, PI3K, Transcriptional Regulation
PRPS1	-1.34	0.0037200000000000002	0.0363	Nucleotide Synthesis, Pentose Phosphate Pathway
SERINC5	-1.65	0.00361	0.0363	Glutamine Metabolism
MS4A4A	-2.12	0.0036	0.0363	NA
ATP6V1F	-1.17	0.0039	0.037	Mitochondrial Respiration, mTOR
PRDX1	-1.93	0.00397	0.037	Reactive Oxygen Response, p53 Pathway
MSRB2	0.832	0.00424	0.0388	Reactive Oxygen Response
CAB39	1.42	0.00432	0.0389	AMPK, mTOR
H6PD	1.37	0.00465	0.0392	Pentose Phosphate Pathway
STAT1	0.943	0.00448	0.0392	Cytokine & Chemokine Signaling, Transcriptional Regulation
GAPVD1	-0.317	0.00458	0.0392	Endocytosis
TFRC	-1.68	0.00452	0.0392	Endocytosis, Myc
PIK3CB	-1.26	0.00475	0.0394	AMPK, Autophagy, Cytokine & Chemokine Signaling, PI3K, TCR & Costimulatory Signaling, mTOR
ERN1	-0.877	0.00492	0.0395	Autophagy
NDUFA1	-0.914	0.0049	0.0395	Mitochondrial Respiration
NCOA2	1.04	0.00507	0.0401	Epigenetic Regulation, Mitochondrial Respiration
HK2	-1.24	0.00517	0.0403	Glycolysis
CD36	-1.65	0.00525	0.0403	AMPK, Antigen Presentation, Cytokine & Chemokine Signaling, TLR Signaling
GLUL	-0.833	0.00534	0.0404	Amino Acid Synthesis, Arginine Metabolism, Glutamine Metabolism
HEXA	-0.86	0.00564	0.0421	Lysosomal Degradation
BRIP1	3.13	0.00588	0.0432	Cell Cycle, DNA Damage Repair
LTC4S	2.73	0.00623	0.0439	Glutamine Metabolism
RPTOR	1.31	0.00619	0.0439	AMPK, Autophagy, PI3K, mTOR, p53 Pathway
NEU1	-0.88	0.00617	0.0439	Lysosomal Degradation
FANCD2	1.84	0.00662	0.0461	DNA Damage Repair
PLCG1	-1.49	0.00683	0.0469	Cytokine & Chemokine Signaling, NF-kB, TCR & Costimulatory Signaling
IDO1	3.31	0.0072	0.0483	TryptophanKynurenine Metabolism
ZNF675	1.52	0.00734	0.0483	Transcriptional Regulation
APRT	-0.473	0.0075	0.0483	Nucleotide Salvage, Nucleotide Synthesis
PSMC1	-0.684	0.00747	0.0483	Antigen Presentation, Cell Cycle, Cytokine & Chemokine Signaling, Hypoxia
SDHC	-0.903	0.00739	0.0483	IDH12 Activity, Mitochondrial Respiration
RICTOR	1.05	0.00791	0.0497	mTOR
PIK3C2A	-0.521	0.00785	0.0497	Endocytosis
FH	-1.22	0.00834	0.0518	IDH12 Activity, Mitochondrial Respiration
PEMT	-1.16	0.00866	0.052	Mitochondrial Respiration
IMPDH1	-1.19	0.00847	0.052	Nucleotide Synthesis
VEGFA	-2.85	0.00867	0.052	Cytokine & Chemokine Signaling, Hypoxia, MAPK, PI3K
PSMB1	-0.636	0.00969	0.0575	Antigen Presentation, Cell Cycle, Cytokine & Chemokine Signaling, Hypoxia
PCK2	-1.21	0.0103	0.0606	AMPK, Glycolysis, PI3K
TET2	1.11	0.0107	0.0617	IDH12 Activity
VHL	0.575	0.0108	0.0617	Antigen Presentation, Hypoxia
NFS1	-0.738	0.0109	0.0621	Amino Acid Synthesis
TECR	-0.662	0.0114	0.0639	Fatty Acid Synthesis
RAD51AP1	1.7	0.0116	0.0643	DNA Damage Repair
AKT2	0.966	0.012	0.0643	AMPK, Autophagy, Cell Cycle, Cytokine & Chemokine Signaling, MAPK, PI3K, TCR & Costimulatory Signaling, mTOR, p53 Pathway
SHMT2	-0.381	0.0122	0.0643	Amino Acid Synthesis, Vitamin & Cofactor Metabolism
PPAT	-0.832	0.012	0.0643	Amino Acid Synthesis, Myc, Nucleotide Synthesis
FABP5	-1.79	0.0122	0.0643	Fatty Acid Synthesis
CD14	-4.55	0.012	0.0643	Antigen Presentation, MAPK, NF-kB, TLR Signaling
GMPR	1.53	0.0125	0.0648	Nucleotide Salvage, Nucleotide Synthesis
PRKAB1	0.653	0.0126	0.0648	AMPK, Autophagy, Mitochondrial Respiration, mTOR, p53 Pathway
ITGB5	-1.81	0.0127	0.0648	Antigen Presentation, PI3K
PDHA1	-0.841	0.0128	0.0649	Glycolysis, Mitochondrial Respiration
RBBP5	-0.505	0.0132	0.0662	Epigenetic Regulation
CSF3R	1.27	0.0135	0.0664	Cytokine & Chemokine Signaling, PI3K
SNF8	0.414	0.0136	0.0664	Endocytosis
PSMA3	-0.71	0.0136	0.0664	Antigen Presentation, Cell Cycle, Cytokine & Chemokine Signaling, Hypoxia
SOD2	-0.823	0.0139	0.0672	Cytokine & Chemokine Signaling, Mitochondrial Respiration
GBA	-0.891	0.014	0.0672	Lysosomal Degradation
NDUFB4	-0.526	0.0144	0.068	Mitochondrial Respiration, Reactive Oxygen Response
GABARAP	-0.542	0.0146	0.068	Autophagy
PSMD13	-0.751	0.0145	0.068	Antigen Presentation, Cell Cycle, Cytokine & Chemokine Signaling, Hypoxia
GCLC	-0.554	0.0148	0.0684	Amino Acid Synthesis, Reactive Oxygen Response
RB1CC1	-0.407	0.015	0.0689	Autophagy
RPLP0	0.955	0.0168	0.0763	Cytokine & Chemokine Signaling
CD180	1.67	0.0171	0.0764	TLR Signaling
MYD88	0.785	0.017	0.0764	Antigen Presentation, Cytokine & Chemokine Signaling, MAPK, NF-kB, TLR Signaling
SEC13	-0.89	0.0184	0.0816	Antigen Presentation, Cell Cycle, Glycolysis, mTOR
TIMELESS	0.981	0.0195	0.083	DNA Damage Repair
ATXN7	0.579	0.0196	0.083	Epigenetic Regulation
GLUD1	-0.27	0.0195	0.083	Amino Acid Synthesis, Arginine Metabolism, Glutamine Metabolism, Mitochondrial Respiration
TBK1	-0.607	0.0197	0.083	Cytokine & Chemokine Signaling, TLR Signaling
LEPR	-0.672	0.0195	0.083	AMPK, Cytokine & Chemokine Signaling
CTPS1	-0.949	0.0193	0.083	Nucleotide Synthesis
HSPA4	-0.477	0.0199	0.0832	Myc
HRAS	0.978	0.0221	0.0902	Autophagy, Cytokine & Chemokine Signaling, Endocytosis, MAPK, PI3K, TCR & Costimulatory Signaling, mTOR
JAK2	0.739	0.0219	0.0902	Cell Cycle, Cytokine & Chemokine Signaling, Epigenetic Regulation, PI3K, Reactive Oxygen Response
MAP2K1	-1.2	0.0219	0.0902	Autophagy, Cytokine & Chemokine Signaling, MAPK, PI3K, TCR & Costimulatory Signaling, TLR Signaling, mTOR
ADK	1.03	0.0234	0.0938	Nucleotide Salvage, Nucleotide Synthesis
SLC2A5	-1.6	0.0233	0.0938	Glucose Transport
GZMB	-3.49	0.0236	0.094	NA
CTSZ	-1.08	0.0239	0.0944	Lysosomal Degradation
SERINC3	-0.427	0.0245	0.0945	Glutamine Metabolism
GART	-0.464	0.0245	0.0945	Nucleotide Synthesis
NPM1	-0.662	0.0246	0.0945	Cell Cycle, Myc
NFKB2	-0.971	0.0241	0.0945	Cytokine & Chemokine Signaling, Epigenetic Regulation, MAPK, NF-kB, TLR Signaling, Transcriptional Regulation
RRM1	0.595	0.0261	0.0993	Nucleotide Synthesis
TYMP	1.25	0.0265	0.1	Nucleotide Salvage, Nucleotide Synthesis
CCNB2	1.19	0.0271	0.101	Cell Cycle
IDH1	-0.785	0.0268	0.101	IDH12 Activity, Reactive Oxygen Response, Vitamin & Cofactor Metabolism
MTOR	-0.59	0.0279	0.103	AMPK, Autophagy, Cytokine & Chemokine Signaling, PI3K, mTOR, p53 Pathway
A2M	1.26	0.0295	0.106	Cytokine & Chemokine Signaling
SMAD3	0.885	0.0294	0.106	Cell Cycle, Cytokine & Chemokine Signaling, Endocytosis
CHMP2A	0.615	0.0291	0.106	Autophagy, Endocytosis
COX7C	0.602	0.0293	0.106	Mitochondrial Respiration, p53 Pathway
NME1	-0.796	0.0292	0.106	Myc, Nucleotide Synthesis
SLC1A5	-0.554	0.0308	0.109	Amino Acid Transporters
PSMB10	0.872	0.0321	0.112	Antigen Presentation, Cell Cycle, Cytokine & Chemokine Signaling, Hypoxia
NRAS	-0.497	0.0321	0.112	Autophagy, Cytokine & Chemokine Signaling, MAPK, PI3K, TCR & Costimulatory Signaling, mTOR
AP2S1	-0.789	0.0318	0.112	Antigen Presentation, Endocytosis
GLRX	-1.28	0.0326	0.113	Glutamine Metabolism
PIK3CA	0.464	0.0332	0.114	AMPK, Autophagy, Cytokine & Chemokine Signaling, PI3K, TCR & Costimulatory Signaling, mTOR
MGST3	-0.979	0.0339	0.116	KEAP1NRF2 Pathway
RPS6KB1	0.495	0.0353	0.119	AMPK, Autophagy, PI3K, mTOR
PFKL	-0.467	0.0353	0.119	AMPK, Glycolysis, Pentose Phosphate Pathway
IL4I1	2.1	0.0363	0.12	Amino Acid Synthesis, TryptophanKynurenine Metabolism
PIK3R1	0.686	0.036	0.12	AMPK, Autophagy, Cytokine & Chemokine Signaling, PI3K, TCR & Costimulatory Signaling, mTOR
SQSTM1	-0.545	0.0359	0.12	Cytokine & Chemokine Signaling
MPC2	-0.811	0.0367	0.12	Mitochondrial Respiration
SRM	-1.1	0.0371	0.121	Amino Acid Synthesis, Myc
EEA1	-0.514	0.0381	0.123	Endocytosis, TLR Signaling
GUSB	0.68	0.04	0.126	Lysosomal Degradation
HPRT1	-0.832	0.0394	0.126	Nucleotide Salvage, Nucleotide Synthesis
ME2	-1.04	0.0399	0.126	Mitochondrial Respiration
CTSL	-3.87	0.0397	0.126	Antigen Presentation, Autophagy, Lysosomal Degradation, TLR Signaling
YWHAZ	-0.391	0.0416	0.129	Cell Cycle, Cytokine & Chemokine Signaling, PI3K, p53 Pathway
CD63	-0.89	0.0413	0.129	Lysosomal Degradation
CD209	-5.95	0.0413	0.129	NA
HSF1	0.389	0.0431	0.13	Transcriptional Regulation
PRIM2	0.363	0.0431	0.13	Cell Cycle, Nucleotide Synthesis
NDUFB2	-0.393	0.0431	0.13	Mitochondrial Respiration
HEXB	-0.527	0.0436	0.13	Lysosomal Degradation
ALDOA	-0.57	0.0432	0.13	Glycolysis, Pentose Phosphate Pathway
NFAT5	-0.795	0.0435	0.13	Transcriptional Regulation
ACAT2	-1.02	0.0437	0.13	Amino Acid Synthesis, Fatty Acid Oxidation, TryptophanKynurenine Metabolism
FNIP2	-1.01	0.0452	0.133	mTOR
CMKLR1	-2.22	0.045	0.133	MAPK, PI3K
HLA-DRB1	0.773	0.0466	0.137	Antigen Presentation, Cytokine & Chemokine Signaling
MAPT	-0.526	0.0469	0.137	MAPK
KDM3B	0.258	0.0476	0.138	Epigenetic Regulation
SDSL	0.715	0.05	0.141	Amino Acid Synthesis
PSPH	0.541	0.0489	0.141	Amino Acid Synthesis, Glutamine Metabolism
CD4	0.538	0.05	0.141	Cytokine & Chemokine Signaling, Endocytosis, TCR & Costimulatory Signaling
RPS6KA1	-0.512	0.0492	0.141	Cytokine & Chemokine Signaling, MAPK, TLR Signaling, mTOR
TIGAR	-0.615	0.0493	0.141	p53 Pathway
POLE	0.937	0.0526	0.146	Cell Cycle, DNA Damage Repair, Nucleotide Synthesis
PIK3CD	0.662	0.0521	0.146	AMPK, Autophagy, Cytokine & Chemokine Signaling, PI3K, TCR & Costimulatory Signaling, mTOR
NUP62	0.278	0.0525	0.146	Cell Cycle, Cytokine & Chemokine Signaling, Glycolysis
UCKL1	-0.437	0.054	0.148	Nucleotide Salvage, Nucleotide Synthesis
FASN	-1.05	0.0538	0.148	AMPK, Fatty Acid Synthesis, Myc, Vitamin & Cofactor Metabolism
ODC1	-1.21	0.0545	0.149	Amino Acid Synthesis, Myc
SLC16A6	-1.87	0.0573	0.156	Amino Acid Transporters
RAD51	1.25	0.0593	0.159	Cell Cycle, DNA Damage Repair
BAD	-0.357	0.0587	0.159	Autophagy, PI3K
SLC3A2	-0.631	0.059	0.159	Amino Acid Transporters, mTOR
NCAPH	1.02	0.0625	0.166	Cell Cycle
ATF7	0.285	0.0628	0.166	Transcriptional Regulation
TKT	-1.03	0.0662	0.175	Pentose Phosphate Pathway
INSR	-0.985	0.0671	0.176	AMPK, MAPK, PI3K, mTOR
CCL5	-0.726	0.0692	0.18	Cytokine & Chemokine Signaling
LDHA	-0.87	0.0692	0.18	Amino Acid Synthesis, Glycolysis, Mitochondrial Respiration, Myc
GNG12	-0.846	0.0705	0.182	Cytokine & Chemokine Signaling, MAPK, PI3K
SDS	1.62	0.0712	0.183	Amino Acid Synthesis
COX7B	-0.52	0.0719	0.184	Mitochondrial Respiration, p53 Pathway
AKT1S1	0.471	0.0741	0.188	AMPK, Autophagy, mTOR
TPR	-0.364	0.0741	0.188	Cell Cycle, Cytokine & Chemokine Signaling, Glycolysis
BRAF	-0.461	0.0754	0.19	Cytokine & Chemokine Signaling, MAPK, mTOR
PSAT1	0.503	0.077	0.193	Amino Acid Synthesis, Glutamine Metabolism
HSPE1	-0.511	0.0779	0.195	Myc
UBE2C	1.75	0.0817	0.202	Antigen Presentation, Cell Cycle
GMPR2	0.369	0.0818	0.202	Nucleotide Salvage, Nucleotide Synthesis
CBR4	-0.392	0.0829	0.203	Fatty Acid Synthesis
PSMB3	-0.411	0.0827	0.203	Antigen Presentation, Cell Cycle, Cytokine & Chemokine Signaling, Hypoxia
NADK2	-0.424	0.0843	0.205	Vitamin & Cofactor Metabolism
NAGLU	-0.569	0.0842	0.205	Lysosomal Degradation
WDR45	0.581	0.0858	0.207	Autophagy
NDUFS8	-0.652	0.0861	0.207	Mitochondrial Respiration, Reactive Oxygen Response
PDK3	0.367	0.0872	0.209	Mitochondrial Respiration
GSK3B	0.168	0.0892	0.213	Cell Cycle, Cytokine & Chemokine Signaling, PI3K, TCR & Costimulatory Signaling, mTOR
CCND1	0.81	0.0915	0.217	AMPK, Cell Cycle, Cytokine & Chemokine Signaling, Epigenetic Regulation, PI3K
NDUFA6	-0.449	0.094	0.222	Mitochondrial Respiration, Reactive Oxygen Response
SLC2A14	-1.02	0.0963	0.226	Glucose Transport
LAMTOR2	0.474	0.0983	0.228	Autophagy, mTOR, p53 Pathway
PGM2	0.467	0.0984	0.228	Glycolysis, Nucleotide Synthesis, Pentose Phosphate Pathway
NFE2L2	-0.284	0.0983	0.228	IDH12 Activity, KEAP1NRF2 Pathway, Transcriptional Regulation
ECHS1	0.367	0.0993	0.229	Amino Acid Synthesis, Fatty Acid Oxidation, TryptophanKynurenine Metabolism
MYBL2	1.36	0.101	0.23	Cell Cycle, Transcriptional Regulation
SOS2	-0.58	0.0999	0.23	Cytokine & Chemokine Signaling, MAPK, PI3K, TCR & Costimulatory Signaling, mTOR
LAMTOR4	0.406	0.103	0.233	Autophagy, mTOR, p53 Pathway
TLR2	-1.01	0.103	0.233	Antigen Presentation, PI3K, TLR Signaling
HK3	-1.28	0.106	0.239	Glycolysis
HLA-C	0.599	0.11	0.248	Antigen Presentation, Cytokine & Chemokine Signaling, Endocytosis
MLST8	-0.281	0.111	0.248	Autophagy, PI3K, mTOR, p53 Pathway
PRKAG1	-0.312	0.112	0.249	AMPK, Autophagy, Mitochondrial Respiration, mTOR, p53 Pathway
CHMP6	0.308	0.114	0.253	Autophagy, Endocytosis
REST	0.193	0.115	0.254	Epigenetic Regulation, Transcriptional Regulation
HJURP	1.65	0.12	0.263	Cell Cycle
STK11	-0.427	0.12	0.263	AMPK, Autophagy, PI3K, mTOR
LAMTOR5	-0.492	0.122	0.265	Autophagy, mTOR, p53 Pathway
UQCRQ	-0.495	0.121	0.265	Mitochondrial Respiration
TBXAS1	-0.708	0.123	0.265	Fatty Acid Synthesis
GCDH	0.592	0.126	0.272	Amino Acid Synthesis, Fatty Acid Oxidation, TryptophanKynurenine Metabolism
SIGLEC5	0.806	0.13	0.275	NA
EHHADH	0.687	0.13	0.275	Amino Acid Synthesis, Fatty Acid Oxidation, TryptophanKynurenine Metabolism
KPNA2	0.325	0.129	0.275	Cytokine & Chemokine Signaling, DNA Damage Repair
PNP	-0.863	0.13	0.275	Nucleotide Salvage, Nucleotide Synthesis
FLT1	-1.87	0.128	0.275	Cytokine & Chemokine Signaling, MAPK, PI3K
CTSS	0.757	0.133	0.281	Antigen Presentation, Lysosomal Degradation, TLR Signaling
PTPRC	0.746	0.137	0.284	TCR & Costimulatory Signaling
CPT1A	0.521	0.136	0.284	AMPK, Fatty Acid Oxidation
HACD2	0.388	0.137	0.284	Fatty Acid Synthesis
SCD	-0.62	0.136	0.284	AMPK, Fatty Acid Synthesis
KMO	0.787	0.138	0.285	TryptophanKynurenine Metabolism
ARF5	0.303	0.138	0.285	Endocytosis
FASLG	1.88	0.14	0.286	Cytokine & Chemokine Signaling, MAPK, Myc, PI3K
APOE	1.53	0.143	0.287	Reactive Oxygen Response, Vitamin & Cofactor Metabolism
UPP1	0.825	0.143	0.287	Nucleotide Salvage, Nucleotide Synthesis
PRIM1	0.614	0.143	0.287	Cell Cycle, Nucleotide Synthesis
PSME2	0.578	0.143	0.287	Antigen Presentation, Cell Cycle, Cytokine & Chemokine Signaling, Hypoxia
AKT1	0.252	0.143	0.287	AMPK, Autophagy, Cell Cycle, Cytokine & Chemokine Signaling, MAPK, PI3K, Reactive Oxygen Response, TCR & Costimulatory Signaling, Vitamin & Cofactor Metabolism, mTOR, p53 Pathway
NCOR1	0.239	0.144	0.287	Epigenetic Regulation, Mitochondrial Respiration
MSH2	-0.288	0.144	0.287	DNA Damage Repair
LY96	-0.852	0.143	0.287	Antigen Presentation, NF-kB, TLR Signaling
IL10	1.2	0.146	0.288	Cytokine & Chemokine Signaling, TCR & Costimulatory Signaling
SLC2A1	-0.759	0.151	0.298	Glucose Transport, Vitamin & Cofactor Metabolism
FANCA	0.92	0.153	0.301	DNA Damage Repair
CCNA1	1.04	0.161	0.313	AMPK, Cell Cycle, DNA Damage Repair
RRAGC	-0.348	0.161	0.313	Autophagy, mTOR, p53 Pathway
NQO1	-0.724	0.161	0.313	KEAP1NRF2 Pathway, Reactive Oxygen Response
EFNA4	0.225	0.162	0.314	MAPK, PI3K
CLOCK	-0.407	0.165	0.317	Epigenetic Regulation, Transcriptional Regulation
WASHC4	0.216	0.167	0.319	Endocytosis
TNF	-0.489	0.167	0.319	Cytokine & Chemokine Signaling, MAPK, NF-kB, TCR & Costimulatory Signaling, mTOR
KANSL1	0.0821	0.168	0.321	Epigenetic Regulation
DCK	0.294	0.17	0.322	Nucleotide Salvage, Nucleotide Synthesis
STAM2	-0.274	0.172	0.325	Cytokine & Chemokine Signaling, Endocytosis
TXN	-0.421	0.176	0.331	p53 Pathway
LTA4H	-0.607	0.178	0.334	Amino Acid Synthesis
TBX21	-3.59	0.179	0.335	Transcriptional Regulation
BUB1	0.933	0.186	0.345	Cell Cycle
BCL2	0.702	0.186	0.345	Autophagy, Cytokine & Chemokine Signaling, NF-kB, PI3K, Reactive Oxygen Response
PPM1A	-0.163	0.186	0.345	MAPK, mTOR
SOS1	0.211	0.19	0.351	Cytokine & Chemokine Signaling, MAPK, PI3K, TCR & Costimulatory Signaling, mTOR
COX5A	-0.448	0.192	0.353	Mitochondrial Respiration, p53 Pathway
HSF2	-0.227	0.194	0.355	Transcriptional Regulation
CCNA2	0.942	0.196	0.357	AMPK, Cell Cycle, DNA Damage Repair, Myc
COX6B1	-0.224	0.196	0.357	Mitochondrial Respiration, p53 Pathway
MYB	-1.54	0.203	0.368	PI3K, Transcriptional Regulation
STAT5A	0.262	0.205	0.369	Cytokine & Chemokine Signaling, Transcriptional Regulation
NDUFB10	-0.361	0.204	0.369	Mitochondrial Respiration
PEBP1	0.187	0.209	0.374	Reactive Oxygen Response
OGDH	-0.242	0.211	0.377	Amino Acid Synthesis, Mitochondrial Respiration, TryptophanKynurenine Metabolism
KYNU	0.681	0.212	0.379	TryptophanKynurenine Metabolism
SLC7A5	0.49	0.217	0.385	Amino Acid Transporters, mTOR
TRAF6	0.25	0.225	0.398	Autophagy, Cytokine & Chemokine Signaling, Endocytosis, MAPK, NF-kB, TLR Signaling
STAT3	0.381	0.227	0.401	Cytokine & Chemokine Signaling, Transcriptional Regulation
SHMT1	0.342	0.23	0.402	Amino Acid Synthesis, Vitamin & Cofactor Metabolism
DERA	0.254	0.23	0.402	Pentose Phosphate Pathway
CLSPN	0.775	0.233	0.407	Cell Cycle, DNA Damage Repair
TPX2	0.996	0.237	0.413	Cell Cycle
ATOX1	-0.301	0.239	0.413	Reactive Oxygen Response
ARID1A	-0.322	0.238	0.413	Epigenetic Regulation
NDUFB11	0.194	0.242	0.418	Mitochondrial Respiration
MLYCD	0.286	0.248	0.424	AMPK
KRAS	0.144	0.249	0.424	Autophagy, Cytokine & Chemokine Signaling, MAPK, PI3K, TCR & Costimulatory Signaling, mTOR
ATP5F1D	-0.193	0.248	0.424	Mitochondrial Respiration
TLR4	0.463	0.253	0.425	Antigen Presentation, NF-kB, PI3K, TLR Signaling
SLC25A1	-0.286	0.251	0.425	Fatty Acid Synthesis
HADH	-0.41	0.253	0.425	Amino Acid Synthesis, Fatty Acid Oxidation, TryptophanKynurenine Metabolism
GMPS	-0.441	0.251	0.425	Nucleotide Synthesis
PGK1	-0.469	0.253	0.425	Glycolysis
KEAP1	0.16	0.257	0.426	Antigen Presentation, IDH12 Activity, KEAP1NRF2 Pathway
NDUFS7	-0.282	0.255	0.426	Mitochondrial Respiration
STK3	-0.288	0.255	0.426	MAPK
PDPK1	-0.0775	0.257	0.427	AMPK, Autophagy, PI3K, TCR & Costimulatory Signaling, mTOR
HLA-E	0.629	0.263	0.43	Antigen Presentation, Cytokine & Chemokine Signaling, Endocytosis
HIF1A	0.428	0.263	0.43	Autophagy, Cytokine & Chemokine Signaling, Hypoxia, Transcriptional Regulation
ZNF254	0.314	0.263	0.43	Transcriptional Regulation
FAHD1	-0.253	0.261	0.43	Amino Acid Synthesis, Mitochondrial Respiration
PLA2G15	0.186	0.265	0.432	Lysosomal Degradation
ABL1	0.101	0.267	0.434	Cell Cycle, DNA Damage Repair, IDH12 Activity, Reactive Oxygen Response
FDX1	0.365	0.269	0.437	KEAP1NRF2 Pathway, Reactive Oxygen Response
RELA	0.13	0.271	0.438	Cytokine & Chemokine Signaling, Epigenetic Regulation, MAPK, NF-kB, PI3K, TCR & Costimulatory Signaling, TLR Signaling, Transcriptional Regulation
COX8A	-0.156	0.272	0.438	Mitochondrial Respiration, p53 Pathway
EZH2	0.541	0.303	0.483	Amino Acid Synthesis, Epigenetic Regulation
AK3	0.223	0.302	0.483	Nucleotide Synthesis
NDUFA12	-0.09	0.303	0.483	Mitochondrial Respiration, Reactive Oxygen Response
NDUFA2	-0.418	0.303	0.483	Mitochondrial Respiration
TPSAB1/B2	-0.326	0.311	0.493	NA
MAT2A	0.303	0.313	0.495	Amino Acid Synthesis
COX14	-0.279	0.324	0.511	Mitochondrial Respiration, p53 Pathway
TRAF1	0.498	0.326	0.512	NF-kB
APOC2	-1.4	0.331	0.519	Vitamin & Cofactor Metabolism
ACAA2	-0.235	0.334	0.523	Amino Acid Synthesis, Fatty Acid Oxidation
ITGB1	-0.277	0.338	0.526	Cytokine & Chemokine Signaling, PI3K
SRR	-0.174	0.343	0.531	Amino Acid Synthesis, Glutamine Metabolism
HERC1	-0.322	0.342	0.531	Antigen Presentation, Myc
CENPA	0.756	0.348	0.536	Cell Cycle
SERINC1	0.195	0.349	0.536	Glutamine Metabolism
GOT2	-0.263	0.35	0.536	Amino Acid Synthesis, Arginine Metabolism, Glutamine Metabolism
CAT	-0.351	0.347	0.536	Reactive Oxygen Response, TryptophanKynurenine Metabolism
PDK1	-0.322	0.353	0.54	Mitochondrial Respiration
KMT2D	0.201	0.356	0.542	Amino Acid Synthesis, Epigenetic Regulation, Transcriptional Regulation
COL6A3	-1.25	0.357	0.542	PI3K
FANCI	0.571	0.364	0.549	DNA Damage Repair
