...1	Log2 fold change	std error (log2)	Lower confidence limit (log2)	Upper confidence limit (log2)	Linear fold change	Lower confidence limit (linear)	Upper confidence limit (linear)	P-value	BH.p.value	method	Gene.sets	probe.ID
PSMB10-mRNA	0.76	0.14	0.486	1.03	1.69	1.4	2.05	0.00558	0.102	lm.nb	Antigen Presentation, Cell Cycle, Cytokine & Chemokine Signaling, Hypoxia	NM_002801.3:249
RELA-mRNA	0.571	0.106	0.364	0.778	1.49	1.29	1.71	0.00566	0.102	loglinear	Cytokine & Chemokine Signaling, Epigenetic Regulation, MAPK, NF-kB, PI3K, TCR & Costimulatory Signaling, TLR Signaling, Transcriptional Regulation	NM_021975.3:1990
CS-mRNA	-0.628	0.117	-0.856	-0.399	0.647	0.552	0.758	0.00576	0.102	loglinear	Mitochondrial Respiration	NM_004077.2:740
MYD88-mRNA	0.727	0.136	0.461	0.993	1.66	1.38	1.99	0.00585	0.102	lm.nb	Antigen Presentation, Cytokine & Chemokine Signaling, MAPK, NF-kB, TLR Signaling	NM_002468.3:2145
SLC3A2-mRNA	0.408	0.0766	0.258	0.558	1.33	1.2	1.47	0.00597	0.102	loglinear	Amino Acid Transporters, mTOR	NM_001012662.2:1505
INSR-mRNA	-0.781	0.148	-1.07	-0.49	0.582	0.476	0.712	0.00625	0.103	loglinear	AMPK, MAPK, PI3K, mTOR	NM_000208.2:525
STK3-mRNA	0.7	0.138	0.43	0.971	1.62	1.35	1.96	0.00712	0.113	loglinear	MAPK	NM_006281.3:1295
BRCC3-mRNA	-0.663	0.132	-0.922	-0.404	0.632	0.528	0.756	0.00742	0.113	loglinear	Cell Cycle, DNA Damage Repair	NM_024332.3:458
TKT-mRNA	-0.467	0.0935	-0.65	-0.284	0.723	0.637	0.821	0.00752	0.113	loglinear	Pentose Phosphate Pathway	NM_001064.2:1235
PSAT1-mRNA	-0.689	0.142	-0.967	-0.411	0.62	0.512	0.752	0.00825	0.119	loglinear	Amino Acid Synthesis, Glutamine Metabolism	NM_021154.3:1445
HADH-mRNA	-0.98	0.203	-1.38	-0.582	0.507	0.385	0.668	0.00846	0.119	lm.nb	Amino Acid Synthesis, Fatty Acid Oxidation, TryptophanKynurenine Metabolism	NM_001184705.2:645
PPAT-mRNA	-0.775	0.161	-1.09	-0.46	0.584	0.47	0.727	0.00855	0.119	loglinear	Amino Acid Synthesis, Myc, Nucleotide Synthesis	NM_002703.3:1210
FNIP2-mRNA	0.852	0.179	0.502	1.2	1.8	1.42	2.3	0.00887	0.12	lm.nb	mTOR	NM_020840.1:1732
NCOR1-mRNA	-0.215	0.0459	-0.305	-0.125	0.861	0.809	0.917	0.00935	0.12	loglinear	Epigenetic Regulation, Mitochondrial Respiration	NM_006311.3:1390
NFE2L2-mRNA	0.606	0.13	0.352	0.861	1.52	1.28	1.82	0.00949	0.12	loglinear	IDH12 Activity, KEAP1NRF2 Pathway, Transcriptional Regulation	NM_006164.3:995
CTPS1-mRNA	-0.691	0.15	-0.984	-0.398	0.619	0.506	0.759	0.00988	0.12	loglinear	Nucleotide Synthesis	NM_001301237.1:580
MLST8-mRNA	-0.954	0.209	-1.36	-0.544	0.516	0.388	0.686	0.0104	0.12	loglinear	Autophagy, PI3K, mTOR, p53 Pathway	NM_001199173.1:810
CBL-mRNA	-0.272	0.0601	-0.39	-0.154	0.828	0.763	0.899	0.0107	0.12	loglinear	Cytokine & Chemokine Signaling, Endocytosis	NM_005188.2:7485
GZMB-mRNA	0.815	0.181	0.461	1.17	1.76	1.38	2.25	0.0107	0.12	lm.nb	NA	NM_004131.3:540
AMPD3-mRNA	0.848	0.188	0.479	1.22	1.8	1.39	2.32	0.0108	0.12	lm.nb	Nucleotide Salvage, Nucleotide Synthesis	NM_000480.2:3033
PLCG1-mRNA	-0.599	0.133	-0.86	-0.338	0.66	0.551	0.791	0.0108	0.12	loglinear	Cytokine & Chemokine Signaling, NF-kB, TCR & Costimulatory Signaling	NM_002660.2:2290
JAK2-mRNA	0.794	0.181	0.439	1.15	1.73	1.36	2.22	0.0119	0.124	loglinear	Cell Cycle, Cytokine & Chemokine Signaling, Epigenetic Regulation, PI3K, Reactive Oxygen Response	NM_004972.3:1464
CD276-mRNA	0.347	0.0792	0.192	0.502	1.27	1.14	1.42	0.0119	0.124	loglinear	TCR & Costimulatory Signaling	NM_001024736.1:2119
ITGB5-mRNA	-0.516	0.118	-0.747	-0.285	0.699	0.596	0.821	0.0119	0.124	loglinear	Antigen Presentation, PI3K	NM_002213.3:2560
CD4-mRNA	-0.604	0.14	-0.879	-0.329	0.658	0.544	0.796	0.0126	0.129	lm.nb	Cytokine & Chemokine Signaling, Endocytosis, TCR & Costimulatory Signaling	NM_000616.4:975
ATG2B-mRNA	-0.403	0.0943	-0.588	-0.218	0.756	0.665	0.86	0.0129	0.13	loglinear	Autophagy	NM_018036.5:1722
GLRX-mRNA	0.774	0.184	0.413	1.14	1.71	1.33	2.2	0.0137	0.134	lm.nb	Glutamine Metabolism	NM_002064.2:360
ATXN7-mRNA	0.705	0.17	0.371	1.04	1.63	1.29	2.05	0.0144	0.134	lm.nb	Epigenetic Regulation	NM_001128149.2:3600
PEBP1-mRNA	-0.735	0.179	-1.09	-0.384	0.601	0.471	0.766	0.0148	0.134	lm.nb	Reactive Oxygen Response	NM_002567.2:1335
SRM-mRNA	-1.09	0.266	-1.61	-0.569	0.47	0.328	0.674	0.0148	0.134	lm.nb	Amino Acid Synthesis, Myc	NM_003132.2:254
PTGS2-mRNA	2.36	0.578	1.23	3.49	5.13	2.34	11.2	0.0151	0.134	lm.nb	Cytokine & Chemokine Signaling, NF-kB, Reactive Oxygen Response, Vitamin & Cofactor Metabolism	NM_000963.1:495
LAMC1-mRNA	-0.702	0.172	-1.04	-0.364	0.615	0.486	0.777	0.0152	0.134	loglinear	PI3K	NM_002293.3:4915
STAT1-mRNA	0.589	0.145	0.305	0.874	1.5	1.24	1.83	0.0153	0.134	lm.nb	Cytokine & Chemokine Signaling, Transcriptional Regulation	NM_007315.3:239
FH-mRNA	-0.77	0.19	-1.14	-0.398	0.586	0.453	0.759	0.0154	0.134	lm.nb	IDH12 Activity, Mitochondrial Respiration	NM_000143.2:203
HK1-mRNA	-0.534	0.133	-0.795	-0.273	0.691	0.576	0.827	0.0159	0.136	loglinear	Glycolysis	NM_000188.2:3355
PNP-mRNA	0.63	0.158	0.32	0.939	1.55	1.25	1.92	0.0163	0.137	lm.nb	Nucleotide Salvage, Nucleotide Synthesis	NM_000270.2:1150
HACD2-mRNA	-0.826	0.21	-1.24	-0.415	0.564	0.424	0.75	0.017	0.14	lm.nb	Fatty Acid Synthesis	NM_198402.2:510
TIGAR-mRNA	-0.843	0.215	-1.26	-0.422	0.557	0.416	0.746	0.0172	0.14	loglinear	p53 Pathway	NM_020375.2:5245
KMO-mRNA	1.15	0.295	0.572	1.73	2.22	1.49	3.31	0.0176	0.14	lm.nb	TryptophanKynurenine Metabolism	NM_003679.3:595
CDA-mRNA	-0.455	0.117	-0.685	-0.226	0.729	0.622	0.855	0.0178	0.14	loglinear	Nucleotide Salvage, Nucleotide Synthesis	NM_001785.2:322
SDS-mRNA	1.62	0.431	0.778	2.47	3.08	1.72	5.53	0.0197	0.153	lm.nb	Amino Acid Synthesis	NM_006843.2:1165
WASHC4-mRNA	0.395	0.106	0.188	0.602	1.31	1.14	1.52	0.0202	0.154	loglinear	Endocytosis	NM_015275.1:1485
PEMT-mRNA	-0.712	0.191	-1.09	-0.338	0.61	0.471	0.791	0.0204	0.154	loglinear	Mitochondrial Respiration	NM_148173.1:385
GMPS-mRNA	-0.511	0.139	-0.783	-0.238	0.702	0.581	0.848	0.0213	0.158	loglinear	Nucleotide Synthesis	NM_003875.2:385
SERINC3-mRNA	-0.159	0.0433	-0.244	-0.0737	0.896	0.845	0.95	0.0216	0.158	loglinear	Glutamine Metabolism	NM_006811.2:185
ATF4-mRNA	0.383	0.105	0.177	0.59	1.3	1.13	1.5	0.022	0.159	loglinear	MAPK, PI3K, Transcriptional Regulation	NM_001675.2:1151
TBK1-mRNA	0.397	0.112	0.178	0.616	1.32	1.13	1.53	0.0237	0.169	loglinear	Cytokine & Chemokine Signaling, TLR Signaling	NM_013254.2:1610
LTA4H-mRNA	-0.876	0.25	-1.37	-0.386	0.545	0.388	0.765	0.0248	0.169	lm.nb	Amino Acid Synthesis	NM_001256643.1:1140
PSMC1-mRNA	0.197	0.0563	0.0868	0.308	1.15	1.06	1.24	0.0249	0.169	loglinear	Antigen Presentation, Cell Cycle, Cytokine & Chemokine Signaling, Hypoxia	NM_002802.2:58
HLA-C-mRNA	0.672	0.192	0.295	1.05	1.59	1.23	2.07	0.0251	0.169	lm.nb	Antigen Presentation, Cytokine & Chemokine Signaling, Endocytosis	NM_002117.4:895
RPL23-mRNA	-0.47	0.135	-0.734	-0.205	0.722	0.601	0.867	0.0253	0.169	lm.nb	Myc	NM_000978.3:71
BTK-mRNA	0.309	0.0892	0.135	0.484	1.24	1.1	1.4	0.0256	0.169	loglinear	Antigen Presentation, NF-kB, TLR Signaling	NM_000061.1:570
UCK2-mRNA	-0.496	0.143	-0.776	-0.216	0.709	0.584	0.861	0.0256	0.169	loglinear	Nucleotide Salvage, Nucleotide Synthesis	NM_012474.3:730
STAT3-mRNA	0.459	0.134	0.196	0.722	1.37	1.15	1.65	0.0267	0.17	lm.nb	Cytokine & Chemokine Signaling, Transcriptional Regulation	NM_003150.3:2060
NDUFB8-mRNA	-0.493	0.144	-0.777	-0.21	0.71	0.584	0.864	0.0269	0.17	lm.nb	Mitochondrial Respiration	NM_001284367.1:204
PLA2G15-mRNA	-0.481	0.141	-0.757	-0.205	0.717	0.592	0.868	0.027	0.17	loglinear	Lysosomal Degradation	NM_012320.3:900
PDK2-mRNA	-0.945	0.277	-1.49	-0.401	0.519	0.356	0.757	0.0271	0.17	lm.nb	Mitochondrial Respiration	NM_002611.3:435
TXNRD1-mRNA	0.639	0.189	0.268	1.01	1.56	1.2	2.01	0.0279	0.172	lm.nb	p53 Pathway	NM_001093771.1:1009
TFRC-mRNA	-0.496	0.15	-0.79	-0.202	0.709	0.578	0.869	0.0297	0.18	lm.nb	Endocytosis, Myc	NM_003234.1:1220
KEAP1-mRNA	0.4	0.121	0.162	0.637	1.32	1.12	1.55	0.0299	0.18	loglinear	Antigen Presentation, IDH12 Activity, KEAP1NRF2 Pathway	NM_012289.3:561
NUP62-mRNA	0.278	0.0851	0.111	0.445	1.21	1.08	1.36	0.0309	0.183	loglinear	Cell Cycle, Cytokine & Chemokine Signaling, Glycolysis	NM_016553.3:457
HLA-A-mRNA	0.502	0.154	0.199	0.805	1.42	1.15	1.75	0.0313	0.183	lm.nb	Antigen Presentation, Cytokine & Chemokine Signaling, Endocytosis	NM_002116.5:1000
CCNA1-mRNA	1.73	0.533	0.681	2.77	3.31	1.6	6.82	0.0317	0.183	lm.nb	AMPK, Cell Cycle, DNA Damage Repair	NM_003914.3:1605
RICTOR-mRNA	0.565	0.175	0.223	0.908	1.48	1.17	1.88	0.0318	0.183	lm.nb	mTOR	NM_152756.3:3097
HLA-E-mRNA	0.745	0.231	0.292	1.2	1.68	1.22	2.29	0.0322	0.183	lm.nb	Antigen Presentation, Cytokine & Chemokine Signaling, Endocytosis	NM_005516.5:1287
GAPVD1-mRNA	-0.306	0.0951	-0.492	-0.119	0.809	0.711	0.921	0.0324	0.183	loglinear	Endocytosis	NM_001282679.1:380
TECR-mRNA	-0.367	0.115	-0.591	-0.142	0.776	0.664	0.907	0.0331	0.185	loglinear	Fatty Acid Synthesis	NR_038104.1:574
GLUL-mRNA	0.394	0.128	0.143	0.644	1.31	1.1	1.56	0.0369	0.203	loglinear	Amino Acid Synthesis, Arginine Metabolism, Glutamine Metabolism	NM_001033044.2:2645
CD68-mRNA	0.429	0.141	0.153	0.705	1.35	1.11	1.63	0.0383	0.209	loglinear	Lysosomal Degradation	NM_001251.2:1140
TRAF1-mRNA	1.35	0.445	0.475	2.22	2.54	1.39	4.66	0.0389	0.209	lm.nb	NF-kB	NM_005658.3:3735
CHMP6-mRNA	0.34	0.113	0.119	0.562	1.27	1.09	1.48	0.0395	0.209	loglinear	Autophagy, Endocytosis	NM_024591.4:346
NPM1-mRNA	-0.536	0.178	-0.886	-0.187	0.69	0.541	0.879	0.0396	0.209	lm.nb	Cell Cycle, Myc	NM_002520.6:910
PIK3CD-mRNA	-0.623	0.208	-1.03	-0.216	0.649	0.489	0.861	0.04	0.209	lm.nb	AMPK, Autophagy, Cytokine & Chemokine Signaling, PI3K, TCR & Costimulatory Signaling, mTOR	NM_005026.3:2978
RRAGC-mRNA	0.423	0.142	0.145	0.701	1.34	1.11	1.63	0.0405	0.21	loglinear	Autophagy, mTOR, p53 Pathway	NM_022157.2:1199
PGD-mRNA	0.379	0.129	0.127	0.632	1.3	1.09	1.55	0.0421	0.216	lm.nb	Pentose Phosphate Pathway	NM_002631.2:1472
MSH2-mRNA	-0.608	0.207	-1.01	-0.202	0.656	0.495	0.869	0.0425	0.216	lm.nb	DNA Damage Repair	NM_000251.1:2105
FLT1-mRNA	1.51	0.523	0.49	2.54	2.86	1.4	5.81	0.0442	0.222	lm.nb	Cytokine & Chemokine Signaling, MAPK, PI3K	NM_002019.4:530
AMPD2-mRNA	-0.352	0.122	-0.591	-0.113	0.783	0.664	0.925	0.0447	0.222	loglinear	Nucleotide Salvage, Nucleotide Synthesis	NM_004037.6:3095
TET2-mRNA	0.368	0.13	0.114	0.622	1.29	1.08	1.54	0.0468	0.23	loglinear	IDH12 Activity	NM_001127208.2:2882
SLC7A5-mRNA	-0.332	0.117	-0.563	-0.102	0.794	0.677	0.932	0.0473	0.23	loglinear	Amino Acid Transporters, mTOR	NM_003486.5:785
CD84-mRNA	0.314	0.112	0.0952	0.533	1.24	1.07	1.45	0.0482	0.23	loglinear	NA	NM_001184879.1:28
MTOR-mRNA	-0.354	0.126	-0.602	-0.107	0.782	0.659	0.929	0.0486	0.23	loglinear	AMPK, Autophagy, Cytokine & Chemokine Signaling, PI3K, mTOR, p53 Pathway	NM_004958.3:1865
IDH3A-mRNA	-0.677	0.243	-1.15	-0.201	0.626	0.45	0.87	0.0495	0.23	lm.nb	Mitochondrial Respiration	NM_005530.2:1521
NADK-mRNA	0.691	0.249	0.202	1.18	1.61	1.15	2.27	0.0503	0.23	lm.nb	Vitamin & Cofactor Metabolism	NM_001198993.1:1558
EPC1-mRNA	0.403	0.146	0.118	0.689	1.32	1.08	1.61	0.0505	0.23	loglinear	Epigenetic Regulation	NM_025209.2:1615
PGM2-mRNA	-0.27	0.0977	-0.461	-0.0785	0.829	0.726	0.947	0.0507	0.23	loglinear	Glycolysis, Nucleotide Synthesis, Pentose Phosphate Pathway	NM_018290.3:295
HSPA4-mRNA	-0.332	0.12	-0.567	-0.0959	0.795	0.675	0.936	0.051	0.23	loglinear	Myc	NM_002154.3:1225
COPS6-mRNA	-0.354	0.129	-0.607	-0.101	0.782	0.657	0.932	0.0516	0.23	loglinear	DNA Damage Repair, Endocytosis	NM_006833.4:860
SLC16A3-mRNA	0.389	0.142	0.111	0.667	1.31	1.08	1.59	0.0519	0.23	lm.nb	Mitochondrial Respiration	NM_004207.2:370
TLR2-mRNA	0.625	0.23	0.174	1.08	1.54	1.13	2.11	0.0532	0.23	lm.nb	Antigen Presentation, PI3K, TLR Signaling	NM_003264.3:2402
NCOA2-mRNA	0.433	0.16	0.119	0.746	1.35	1.09	1.68	0.053900000000000003	0.23	lm.nb	Epigenetic Regulation, Mitochondrial Respiration	NM_006540.2:1045
SHMT2-mRNA	-0.242	0.0899	-0.419	-0.0662	0.845	0.748	0.955	0.0543	0.23	loglinear	Amino Acid Synthesis, Vitamin & Cofactor Metabolism	NM_001166356.1:1460
ATP5F1D-mRNA	-0.409	0.152	-0.707	-0.112	0.753	0.613	0.925	0.0543	0.23	lm.nb	Mitochondrial Respiration	NM_001687.4:184
MAT2A-mRNA	0.242	0.0899	0.0659	0.418	1.18	1.05	1.34	0.0545	0.23	loglinear	Amino Acid Synthesis	NM_005911.4:805
TDO2-mRNA	0.586	0.218	0.159	1.01	1.5	1.12	2.02	0.0548	0.23	lm.nb	TryptophanKynurenine Metabolism	NM_005651.2:495
RPIA-mRNA	-0.577	0.215	-0.998	-0.156	0.67	0.501	0.897	0.0549	0.23	lm.nb	Pentose Phosphate Pathway	NM_144563.2:1588
CTSA-mRNA	-0.407	0.152	-0.704	-0.11	0.754	0.614	0.927	0.055	0.23	lm.nb	Antigen Presentation, Lysosomal Degradation	NM_001127695.1:1540
NFKB1-mRNA	0.384	0.143	0.103	0.665	1.31	1.07	1.59	0.0552	0.23	loglinear	Cytokine & Chemokine Signaling, Epigenetic Regulation, MAPK, NF-kB, PI3K, TCR & Costimulatory Signaling, TLR Signaling, Transcriptional Regulation	NM_003998.2:1675
KPNA2-mRNA	-0.498	0.187	-0.865	-0.131	0.708	0.549	0.913	0.0563	0.232	lm.nb	Cytokine & Chemokine Signaling, DNA Damage Repair	NM_002266.2:917
ECHS1-mRNA	-0.488	0.184	-0.847	-0.128	0.713	0.556	0.915	0.0566	0.232	lm.nb	Amino Acid Synthesis, Fatty Acid Oxidation, TryptophanKynurenine Metabolism	NM_004092.3:125
HIF1A-mRNA	0.506	0.194	0.126	0.885	1.42	1.09	1.85	0.0594	0.239	lm.nb	Autophagy, Cytokine & Chemokine Signaling, Hypoxia, Transcriptional Regulation	NM_001530.2:1985
IL4I1-mRNA	0.89	0.341	0.221	1.56	1.85	1.17	2.94	0.0595	0.239	lm.nb	Amino Acid Synthesis, TryptophanKynurenine Metabolism	NM_152899.1:1452
PIK3C2A-mRNA	-0.12	0.046	-0.21	-0.0295	0.92	0.865	0.98	0.06	0.239	loglinear	Endocytosis	NM_002645.1:3505
MAPKAP1-mRNA	-0.623	0.24	-1.09	-0.153	0.65	0.469	0.9	0.0602	0.239	lm.nb	mTOR	NM_001006617.1:1188
TXN2-mRNA	-0.153	0.0591	-0.269	-0.0374	0.899	0.83	0.974	0.0605	0.239	loglinear	Reactive Oxygen Response	NM_012473.3:192
TRAF6-mRNA	0.411	0.159	0.0986	0.723	1.33	1.07	1.65	0.0614	0.24	loglinear	Autophagy, Cytokine & Chemokine Signaling, Endocytosis, MAPK, NF-kB, TLR Signaling	NM_145803.2:745
GART-mRNA	-0.368	0.143	-0.648	-0.087	0.775	0.638	0.941	0.0621	0.241	loglinear	Nucleotide Synthesis	NM_000819.3:370
GPS1-mRNA	-0.408	0.159	-0.72	-0.0956	0.754	0.607	0.936	0.0627	0.242	loglinear	DNA Damage Repair, Endocytosis	NM_004127.4:605
NAGLU-mRNA	-0.387	0.153	-0.688	-0.0871	0.765	0.621	0.941	0.0648	0.248	loglinear	Lysosomal Degradation	NM_000263.3:696
RPTOR-mRNA	-0.567	0.226	-1.01	-0.125	0.675	0.497	0.917	0.0658	0.25	loglinear	AMPK, Autophagy, PI3K, mTOR, p53 Pathway	NM_020761.2:6665
RBKS-mRNA	-0.707	0.284	-1.26	-0.151	0.612	0.417	0.901	0.0673	0.253	loglinear	Pentose Phosphate Pathway	NM_022128.2:914
GOT2-mRNA	-0.4	0.161	-0.715	-0.0846	0.758	0.609	0.943	0.0678	0.253	lm.nb	Amino Acid Synthesis, Arginine Metabolism, Glutamine Metabolism	NM_002080.2:2145
PDHA1-mRNA	-0.481	0.194	-0.861	-0.101	0.716	0.55	0.932	0.0682	0.253	lm.nb	Glycolysis, Mitochondrial Respiration	NM_000284.3:1080
PLK1-mRNA	-0.75	0.304	-1.35	-0.154	0.595	0.394	0.898	0.0691	0.253	lm.nb	Cell Cycle	NM_005030.3:535
TFAM-mRNA	-0.533	0.216	-0.957	-0.11	0.691	0.515	0.927	0.0692	0.253	lm.nb	Mitochondrial Respiration	NM_003201.1:85
PDPK1-mRNA	-0.274	0.111	-0.492	-0.0554	0.827	0.711	0.962	0.07	0.255	loglinear	AMPK, Autophagy, PI3K, TCR & Costimulatory Signaling, mTOR	NM_002613.3:5935
TYMP-mRNA	0.533	0.218	0.105	0.962	1.45	1.08	1.95	0.0712	0.257	lm.nb	Nucleotide Salvage, Nucleotide Synthesis	NM_001953.3:719
NDUFS7-mRNA	-0.345	0.144	-0.628	-0.0623	0.787	0.647	0.958	0.0751	0.266	lm.nb	Mitochondrial Respiration	NM_024407.4:376
IL10-mRNA	0.792	0.332	0.141	1.44	1.73	1.1	2.72	0.0758	0.266	lm.nb	Cytokine & Chemokine Signaling, TCR & Costimulatory Signaling	NM_000572.2:230
STAM2-mRNA	0.304	0.128	0.053900000000000003	0.554	1.23	1.04	1.47	0.0758	0.266	loglinear	Cytokine & Chemokine Signaling, Endocytosis	NM_005843.4:1455
PRKAB2-mRNA	0.426	0.179	0.0754	0.777	1.34	1.05	1.71	0.0759	0.266	loglinear	AMPK, Autophagy, Fatty Acid Oxidation, Mitochondrial Respiration, mTOR, p53 Pathway	NM_005399.3:1600
CTSS-mRNA	0.612	0.258	0.107	1.12	1.53	1.08	2.17	0.0763	0.266	lm.nb	Antigen Presentation, Lysosomal Degradation, TLR Signaling	NM_004079.3:685
STAT6-mRNA	0.341	0.144	0.058	0.623	1.27	1.04	1.54	0.0775	0.268	lm.nb	Cytokine & Chemokine Signaling, Transcriptional Regulation	NM_003153.3:2030
HK2-mRNA	0.355	0.151	0.06	0.651	1.28	1.04	1.57	0.0778	0.268	lm.nb	Glycolysis	NM_000189.4:6880
KRAS-mRNA	0.196	0.0835	0.032	0.359	1.15	1.02	1.28	0.0791	0.271	loglinear	Autophagy, Cytokine & Chemokine Signaling, MAPK, PI3K, TCR & Costimulatory Signaling, mTOR	NM_033360.2:267
SHMT1-mRNA	-0.695	0.298	-1.28	-0.112	0.618	0.412	0.925	0.0797	0.271	lm.nb	Amino Acid Synthesis, Vitamin & Cofactor Metabolism	NM_148918.1:1800
CCL13-mRNA	1.98	0.857	0.302	3.66	3.95	1.23	12.7	0.0818	0.274	lm.nb	Cytokine & Chemokine Signaling, NF-kB	NM_005408.2:320
NDUFB7-mRNA	-0.3	0.13	-0.555	-0.0453	0.812	0.681	0.969	0.0822	0.274	lm.nb	Mitochondrial Respiration	NM_004146.5:239
RPS6KB2-mRNA	-0.679	0.294	-1.26	-0.102	0.625	0.419	0.932	0.0824	0.274	lm.nb	AMPK, Autophagy, PI3K, mTOR	NM_003952.2:980
ASL-mRNA	-0.281	0.122	-0.52	-0.0418	0.823	0.697	0.971	0.0828	0.274	loglinear	Amino Acid Synthesis, Arginine Metabolism, IDH12 Activity	NM_000048.3:130
RBBP5-mRNA	0.272	0.119	0.0395	0.505	1.21	1.03	1.42	0.0836	0.275	loglinear	Epigenetic Regulation	NM_005057.2:325
NFKB2-mRNA	0.31	0.136	0.0432	0.576	1.24	1.03	1.49	0.085	0.278	loglinear	Cytokine & Chemokine Signaling, Epigenetic Regulation, MAPK, NF-kB, TLR Signaling, Transcriptional Regulation	NM_002502.2:825
